date, pm25, pm10, o3, no2, so2, co
2024/12/1, 134, , 1, 29, , 10
2024/12/2, 120, , 1, 30, , 8
2024/12/3, 122, , 1, 31, , 8
2024/12/4, 122, , 1, 32, , 9
2024/12/5, 130, , 1, 46, , 11
2024/12/6, 147, , 3, 20, , 9
2024/12/7, 139, , 3, 11, , 4
2024/12/8, 89, , 3, 14, , 5
2024/12/9, 85, , 4, 13, , 4
2024/12/10, 90, , 4, 27, , 5
2024/12/11, 88, , 3, 65, , 16
2024/12/12, 137, , 22, 67, , 7
2024/12/13, 123, , 8, 54, , 5
2024/12/14, 82, , 5, 30, , 5
2024/12/15, 148, , 6, 36, , 6
2024/12/16, 115, , 2, 38, , 13
2024/12/17, 112, , 2, 56, , 22
2024/12/18, 155, , 2, 74, , 31
2024/12/19, 170, , 3, 22, , 21
2024/12/20, 168, , 5, 19, , 12
2024/12/21, 101, , 4, 19, , 13
2024/12/22, 85, , 6, 17, , 15
2024/12/23, 101, , 7, 17, , 12
2024/12/24, 91, , 2, 26, , 16
2024/12/25, 90, , 4, 34, , 17
2024/12/26, 118, , 7, 14, , 13
2024/12/27, 91, , 7, 17, , 12
2024/12/28, 76, , 4, 16, , 11
2024/12/29, 79, , , , , 
2024/11/1, 83, , 8, , , 10
2024/11/2, 100, , 17, , , 13
2024/11/3, 120, , 19, , , 5
2024/11/4, 82, , 14, , , 7
2024/11/5, 77, , , , , 
2024/11/8, 91, , 8, 29, , 12
2024/11/9, 88, , 8, 15, , 10
2024/11/10, 82, , 6, 44, , 14
2024/11/11, 91, , 4, 59, , 21
2024/11/12, 129, , 3, 72, , 30
2024/11/13, 152, , 4, 42, , 22
2024/11/14, 153, , 5, 32, , 16
2024/11/15, 118, , 4, 39, , 25
2024/11/16, 109, , 4, 17, , 13
2024/11/17, 89, , 4, 25, , 15
2024/11/18, 97, , 3, 46, , 28
2024/11/19, 130, , 7, 15, , 4
2024/11/20, 125, , 6, 20, , 4
2024/11/21, 82, , 4, 55, , 6
2024/11/22, 99, , , , , 
2024/11/26, 85, , 3, 50, , 12
2024/11/27, 111, , 3, 98, , 22
2024/11/28, 143, , 1, 43, , 13
